# Initial data for the Sun and the Earth
# 1:x 2:y 3:z 4:vx 5:vy 6:vz 7:mass
# SI Units: meters, m/s, kg
0 0 0 0 0 0 1.98855e30
1.49598261e11 0 0 0 29.78e3 0 5.97219e24
